id_cliente,genero,casado,event_time,idade_18-29,idade_30-39,idade_40-49,idade_50-59,idade_60-69,idade_70-plus,num_dias_ativo
C1,0,0,2024-11-27T04:57:49.698Z,False,False,False,True,False,False,0.08356164383561637
C2,1,0,2024-11-27T04:57:49.702Z,True,False,False,False,False,False,0.6595890410958902
C3,1,1,2024-11-27T04:57:49.708Z,False,False,False,False,True,False,0.40205479452054793
C4,1,0,2024-11-27T04:57:49.712Z,False,False,False,True,False,False,0.7089041095890409
C5,1,1,2024-11-27T04:57:49.719Z,False,True,False,False,False,False,0.7657534246575342
C6,0,1,2024-11-27T04:57:49.725Z,True,False,False,False,False,False,0.06712328767123288
C7,1,0,2024-11-27T04:57:49.727Z,False,False,False,False,True,False,0.46506849315068477
C8,1,0,2024-11-27T04:57:49.728Z,False,False,False,False,False,True,0.9705479452054795
C9,1,0,2024-11-27T04:57:49.733Z,False,False,False,False,False,True,0.8178082191780822
C10,0,0,2024-11-27T04:57:49.737Z,False,False,False,True,False,False,0.6075342465753424
C11,0,1,2024-11-27T04:57:49.742Z,False,False,False,False,True,False,0.7034246575342464
C12,1,0,2024-11-27T04:57:49.745Z,True,False,False,False,False,False,0.004794520547945158
C13,1,1,2024-11-27T04:57:49.747Z,False,True,False,False,False,False,0.03013698630136985
C14,1,1,2024-11-27T04:57:49.749Z,False,True,False,False,False,False,0.19931506849315062
C15,1,1,2024-11-27T04:57:49.752Z,False,False,False,False,True,False,0.6623287671232876
C16,0,1,2024-11-27T04:57:49.755Z,False,False,False,False,False,True,0.7582191780821916
C17,0,0,2024-11-27T04:57:49.756Z,False,False,False,True,False,False,0.604794520547945
C18,1,0,2024-11-27T04:57:49.758Z,False,False,True,False,False,False,0.048630136986301364
C19,0,0,2024-11-27T04:57:49.759Z,False,True,False,False,False,False,0.297945205479452
C20,0,1,2024-11-27T04:57:49.764Z,True,False,False,False,False,False,0.9705479452054795
C21,1,0,2024-11-27T04:57:49.766Z,False,False,False,False,False,True,0.5753424657534245
C22,0,1,2024-11-27T04:57:49.768Z,True,False,False,False,False,False,0.8164383561643835
C23,1,0,2024-11-27T04:57:49.771Z,False,False,False,False,True,False,0.6246575342465752
C24,0,1,2024-11-27T04:57:49.772Z,True,False,False,False,False,False,0.18287671232876712
C25,0,1,2024-11-27T04:57:49.776Z,True,False,False,False,False,False,0.5034246575342465
C26,0,0,2024-11-27T04:57:49.777Z,False,False,False,True,False,False,0.4363013698630136
C27,1,1,2024-11-27T04:57:49.781Z,False,False,False,False,False,True,0.09109589041095889
C28,0,1,2024-11-27T04:57:49.784Z,False,True,False,False,False,False,0.7671232876712328
C29,1,0,2024-11-27T04:57:49.786Z,True,False,False,False,False,False,0.12876712328767126
C30,1,1,2024-11-27T04:57:49.790Z,True,False,False,False,False,False,0.3650684931506849
C31,0,0,2024-11-27T04:57:49.792Z,False,True,False,False,False,False,0.7465753424657533
C32,1,1,2024-11-27T04:57:49.795Z,False,True,False,False,False,False,0.9226027397260275
C33,1,0,2024-11-27T04:57:49.797Z,True,False,False,False,False,False,0.5075342465753423
C34,0,0,2024-11-27T04:57:49.800Z,False,False,False,True,False,False,0.3246575342465752
C35,0,1,2024-11-27T04:57:49.802Z,False,False,False,False,False,True,0.4897260273972601
C36,1,1,2024-11-27T04:57:49.803Z,False,False,False,False,False,False,0.9952054794520548
C37,0,0,2024-11-27T04:57:49.805Z,False,False,False,False,False,True,0.27123287671232865
C38,1,1,2024-11-27T04:57:49.807Z,False,False,False,True,False,False,0.013698630136986134
C39,1,1,2024-11-27T04:57:49.808Z,False,False,False,False,False,True,0.8643835616438356
C40,1,1,2024-11-27T04:57:49.810Z,True,False,False,False,False,False,0.5732876712328767
C41,0,1,2024-11-27T04:57:49.811Z,False,False,False,True,False,False,0.49178082191780814
C42,0,1,2024-11-27T04:57:49.812Z,False,False,False,False,True,False,0.9965753424657535
C43,0,1,2024-11-27T04:57:49.815Z,False,False,False,False,False,True,0.7376712328767123
C44,1,1,2024-11-27T04:57:49.816Z,False,False,False,False,False,True,0.5280821917808218
C45,1,0,2024-11-27T04:57:49.818Z,False,False,True,False,False,False,0.5226027397260273
C46,0,1,2024-11-27T04:57:49.820Z,False,False,False,False,False,True,0.8630136986301369
C47,1,0,2024-11-27T04:57:49.822Z,False,False,False,False,False,True,0.2863013698630137
C48,0,1,2024-11-27T04:57:49.825Z,False,False,False,True,False,False,0.15205479452054793
C49,0,0,2024-11-27T04:57:49.827Z,True,False,False,False,False,False,0.7102739726027396
